 EventID   CumTr  TrackID  Layer        X_mm        Y_mm        Z_mm    pTot_MeV       Eta       Phi     Theta   Charge   Energy_MeV    Edep_MeV    PDG_ID
       0       4        5     42     325.203   -1267.714    4720.110    3142.750    2.0755   -1.3440    0.2497      1.0     3038.868    0.107064       -13
       0       4        5     43     329.891   -1288.641    4802.360    3055.333    2.0249   -1.3791    0.2625      1.0     2951.501    0.083131       -13
       0       4        5     44     334.166   -1310.484    4884.610    2963.580    2.0371   -1.3387    0.2593      1.0     2859.805    0.070058       -13
       0       4        5     45     338.995   -1331.983    4966.860    2800.826    2.0417   -1.3532    0.2582      1.0     2697.160    0.110202       -13
       0       4        5     46     342.902   -1353.043    5049.110    2710.496    2.0421   -1.3867    0.2581      1.0     2606.896    0.134183       -13
       0       4        5     47     346.533   -1374.142    5131.360    2610.897    2.0454   -1.4092    0.2572      1.0     2507.375    0.082262       -13
       0       4       12      3     216.885    -871.640    3252.212       0.846    0.9408    1.1064    0.7443     -1.0        0.477    0.477083        11
       0       4       14      9     223.728    -897.111    3343.680       5.390    1.9008   -1.1883    0.2967     -1.0        4.903    0.079855        11
       0       4       19     19     235.363    -939.650    3499.780      74.023    2.1815   -1.4718    0.2248     -1.0       73.513    0.079858        11
       0       4       19     20     236.239    -939.934    3509.720      38.978    2.6789    0.6149    0.1371     -1.0       38.470    0.104420        11
       0       4       21     20     236.610    -942.675    3509.720       0.893    1.0161    0.5411    0.6947     -1.0        0.518    0.250980        11
       0       4       55     34     279.923   -1123.163    4119.710       8.883    0.2947   -2.1284    1.2803     -1.0        8.387    0.298040        11
       0       4       73     38     303.207   -1183.575    4391.110      18.592    1.6629   -1.7615    0.3747     -1.0       18.088    0.095650        11
       0       4       78     40     312.302   -1213.634    4555.610       2.566    0.8479    1.5321    0.8094     -1.0        2.105    0.114849        11
       0       4      103     47     346.134   -1376.628    5131.360       5.812    1.7695   -1.8979    0.3376     -1.0        5.324    0.091974        11
       0       4      107     46     334.786   -1349.365    5049.110       0.092    1.0372   -3.1045    0.6812      0.0        0.092    0.000000        22
       0       4      117     45     335.067   -1327.345    4966.860      20.172    2.3400   -1.6530    0.1921      0.0       20.172    0.000000        22
       0       4      120     45     334.256   -1337.808    4966.860       0.656    1.5032   -1.7409    0.4377      0.0        0.656    0.000000        22
       0       4      164     46     341.288   -1297.729    5049.110       0.105    0.4498    1.8826    1.1355      0.0        0.105    0.000000        22
       0       4      167     45     331.712   -1329.822    4967.160       0.357   -1.1167   -1.2550    2.5089      0.0        0.357    0.000000        22
       0       4      212     44     269.623   -1389.752    4884.610       0.146    0.1378   -0.4327    1.4334      0.0        0.146    0.000000        22
       0       4      299     40     316.608   -1220.609    4555.610       0.202    2.8568    0.2656    0.1148      0.0        0.202    0.000000        22
       0       4      301     40     313.059   -1220.972    4555.610       0.149    2.9433   -2.9807    0.1053      0.0        0.149    0.000000        22
       0       4      302     40     312.310   -1218.168    4555.610       2.701    2.2618    2.4450    0.2076      0.0        2.701    0.000000        22
       0       4      302     41     328.627   -1219.924    4637.860       0.281    0.7317   -2.6275    0.8968      0.0        0.281    0.000000        22
       0       4      303     40     311.818   -1213.660    4555.610       0.930    0.1635   -0.8885    1.4081     -1.0        0.550    0.028776        11
       0       4      315     40     316.938   -1227.158    4555.610      11.318    2.0519   -0.6262    0.2556     -1.0       10.819    0.282578        11
       0       4      321     40     330.116   -1226.302    4555.610       0.511    0.5824   -0.2506    1.0188      0.0        0.511    0.000000        22
       0       4      338     40     318.511   -1228.345    4555.610       9.576    1.5021   -1.0694    0.4382      0.0        9.576    0.000000        22
       0       4      338     41     337.034   -1262.139    4637.860       9.576    1.5021   -1.0694    0.4382      0.0        9.576    0.000000        22
       0       4      338     42     349.526   -1301.919    4720.110       8.786    1.4254   -1.2792    0.4719      0.0        8.786    0.000000        22
       0       4      338     43     361.594   -1342.121    4802.360       8.786    1.4254   -1.2792    0.4719      0.0        8.786    0.000000        22
       0       4      340     40     316.692   -1227.527    4555.610       1.240    1.4721   -1.9054    0.4511     -1.0        0.830    0.167956        11
       0       4      350     41     312.925   -1258.852    4637.860       2.257    1.7471   -1.7504    0.3451     -1.0        1.803    0.094235        11
